               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11282,            0.016794,            0.075032,           0.0095628,                0.35,            0.012342,           0.0017857,            0.088394,            0.012033,             0.07532,              0.0973,              0.0003,              0.0003
                   1,             0.10576,            0.016342,            0.074449,            0.010356,               0.425,              0.0169,           0.0027209,            0.079924,            0.013458,            0.072595,            0.093699,          0.00069861,          0.00069861
                   2,            0.098017,            0.020471,            0.071407,            0.010897,                 0.5,            0.020678,           0.0035589,            0.069677,            0.015564,            0.068754,            0.090096,           0.0010956,           0.0010956
                   3,            0.090102,            0.023513,            0.068643,           0.0098761,                 0.5,             0.02365,           0.0039876,            0.063467,            0.017171,            0.064375,            0.086491,           0.0014911,           0.0014911
                   4,            0.087591,            0.026729,            0.064849,            0.011793,                0.65,            0.019304,           0.0032506,            0.064584,            0.017083,             0.05936,            0.082885,            0.001885,            0.001885
                   5,            0.079806,            0.022644,            0.059993,            0.016521,                   1,            0.089209,            0.024642,             0.05731,            0.017294,            0.054514,            0.079277,           0.0022772,           0.0022772
                   6,            0.078769,            0.027779,            0.054964,            0.014327,                   1,             0.35015,             0.13309,             0.05353,            0.017047,            0.049005,            0.075668,           0.0026679,           0.0026679
                   7,            0.069731,            0.027328,            0.049707,            0.012202,                   1,             0.51363,             0.17927,            0.054189,             0.01627,             0.04492,            0.072057,            0.003057,            0.003057
                   8,            0.071914,            0.025048,            0.046722,            0.012043,                   1,             0.63831,             0.25864,            0.051624,            0.015857,            0.042096,            0.068445,           0.0034446,           0.0034446
                   9,            0.072063,             0.02815,             0.04395,             0.12232,               0.575,             0.36211,             0.12105,            0.071488,            0.011843,            0.037121,            0.064831,           0.0038305,           0.0038305
                  10,            0.077308,            0.022035,             0.04013,              0.4176,             0.53839,             0.55208,             0.23104,            0.053594,            0.013048,            0.035977,            0.061215,           0.0042149,           0.0042149
                  11,            0.069408,            0.021563,            0.038012,             0.22467,               0.725,              0.2783,            0.097173,            0.070555,             0.01111,            0.034718,            0.057598,           0.0045976,           0.0045976
                  12,            0.075006,            0.020711,            0.037523,             0.54862,             0.75633,             0.67169,             0.22095,             0.06322,            0.011533,            0.033834,            0.053979,           0.0049788,           0.0049788
                  13,            0.070082,            0.019866,            0.036225,             0.32773,               0.775,             0.37602,             0.17506,            0.067233,            0.010335,            0.033674,            0.050358,           0.0053584,           0.0053584
                  14,            0.070964,            0.019592,            0.035591,             0.17352,                   1,             0.29839,             0.10991,            0.064179,            0.010568,            0.032945,            0.046736,           0.0057365,           0.0057365
                  15,            0.080296,            0.019133,            0.034843,            0.064177,                 0.9,            0.075889,            0.016588,            0.086697,            0.010522,            0.033249,            0.043113,           0.0061129,           0.0061129
                  16,            0.079334,            0.017343,            0.033661,             0.34457,                0.95,             0.64005,              0.2616,            0.064954,            0.010273,            0.032624,            0.039488,           0.0064877,           0.0064877
                  17,            0.072314,            0.015757,            0.033805,             0.23023,               0.975,             0.25582,            0.080513,            0.076849,            0.009955,            0.031353,            0.035861,            0.006861,            0.006861
                  18,            0.077108,            0.015298,            0.032655,             0.23023,               0.975,             0.25582,            0.080513,            0.076849,            0.009955,            0.031353,            0.032233,           0.0072327,           0.0072327
                  19,            0.069836,            0.016757,            0.033058,               0.152,                0.85,             0.15555,            0.057709,            0.065503,            0.011048,            0.030831,            0.028603,           0.0076028,           0.0076028
                  20,            0.077059,            0.015749,            0.032846,            0.034478,               0.475,             0.05078,            0.017698,            0.087125,           0.0096689,            0.029502,            0.024971,           0.0079713,           0.0079713
                  21,            0.085126,            0.016178,             0.03192,             0.32555,                 0.8,             0.51966,             0.22357,            0.075111,            0.010141,            0.028823,            0.021338,           0.0083383,           0.0083383
                  22,            0.080994,            0.014734,            0.032014,             0.32555,                 0.8,             0.51966,             0.22357,            0.075111,            0.010141,            0.028823,            0.017704,           0.0087036,           0.0087036
                  23,            0.074022,            0.015639,            0.031473,             0.22566,                   1,             0.26602,             0.10105,             0.06141,            0.010142,            0.028119,            0.014067,           0.0090674,           0.0090674
                  24,            0.069973,            0.016341,            0.030721,              0.4336,             0.70215,             0.56447,             0.11077,            0.076617,           0.0095799,            0.026835,             0.01043,           0.0094296,           0.0094296
                  25,            0.078171,            0.015646,            0.029353,              0.4336,             0.70215,             0.56447,             0.11077,            0.076617,           0.0095799,            0.026835,            0.009505,            0.009505,            0.009505
                  26,            0.076912,            0.015622,            0.030726,             0.10885,               0.475,            0.088289,            0.022115,            0.075345,            0.010196,            0.025505,            0.009505,            0.009505,            0.009505
                  27,            0.081008,            0.015534,            0.030034,             0.31087,             0.74549,             0.40148,             0.12874,            0.079872,            0.010396,            0.023693,           0.0094852,           0.0094852,           0.0094852
                  28,              0.0823,            0.014375,            0.028975,             0.31087,             0.74549,             0.40148,             0.12874,            0.079872,            0.010396,            0.023693,           0.0094654,           0.0094654,           0.0094654
                  29,             0.07631,            0.015493,            0.027574,             0.20709,                0.65,             0.30763,             0.14652,            0.068814,            0.010817,            0.021724,           0.0094456,           0.0094456,           0.0094456
                  30,            0.071353,            0.014296,            0.029232,             0.33036,                 0.7,             0.41783,             0.10872,            0.092045,            0.010179,            0.019757,           0.0094258,           0.0094258,           0.0094258
                  31,            0.085951,            0.012939,            0.025409,             0.33036,                 0.7,             0.41783,             0.10872,            0.092045,            0.010179,            0.019757,            0.009406,            0.009406,            0.009406
                  32,            0.079073,            0.014069,            0.025329,             0.48705,                 0.8,             0.69307,             0.32622,            0.061467,             0.01089,            0.018097,           0.0093862,           0.0093862,           0.0093862
                  33,            0.071011,            0.014281,            0.024853,             0.70209,             0.85058,             0.82137,             0.36411,            0.076793,           0.0097035,            0.018311,           0.0093664,           0.0093664,           0.0093664
                  34,            0.075993,            0.013761,            0.023708,             0.70209,             0.85058,             0.82137,             0.36411,            0.076793,           0.0097035,            0.018311,           0.0093466,           0.0093466,           0.0093466
                  35,            0.073111,            0.012352,            0.023296,             0.66442,              0.9089,             0.88645,             0.59579,             0.06809,           0.0093938,            0.015925,           0.0093268,           0.0093268,           0.0093268
                  36,            0.072143,            0.013511,             0.02386,             0.17704,                0.95,             0.18428,            0.081838,            0.086146,           0.0086495,            0.015029,            0.009307,            0.009307,            0.009307
                  37,            0.084419,            0.012334,            0.022441,             0.17704,                0.95,             0.18428,            0.081838,            0.086146,           0.0086495,            0.015029,           0.0092872,           0.0092872,           0.0092872
                  38,            0.083332,            0.011951,            0.020655,            0.081341,               0.525,             0.11339,            0.037258,             0.08636,             0.00781,            0.013613,           0.0092674,           0.0092674,           0.0092674
                  39,            0.086304,            0.012467,             0.02029,             0.44322,             0.92173,             0.70996,             0.13412,            0.085421,           0.0073057,            0.011101,           0.0092476,           0.0092476,           0.0092476
                  40,            0.086061,            0.010937,            0.018193,             0.44322,             0.92173,             0.70996,             0.13412,            0.085421,           0.0073057,            0.011101,           0.0092278,           0.0092278,           0.0092278
                  41,            0.080513,            0.011696,            0.019667,             0.56627,             0.88419,             0.82816,             0.35589,            0.074271,           0.0072954,            0.010125,            0.009208,            0.009208,            0.009208
                  42,            0.077153,            0.012987,            0.022581,             0.64241,                0.95,             0.97279,              0.3594,            0.072019,            0.007638,           0.0096447,           0.0091882,           0.0091882,           0.0091882
                  43,            0.075238,            0.013259,             0.01991,             0.64241,                0.95,             0.97279,              0.3594,            0.072019,            0.007638,           0.0096447,           0.0091684,           0.0091684,           0.0091684
                  44,            0.070144,            0.013672,            0.016834,             0.61817,               0.975,             0.95849,             0.54373,            0.062398,           0.0082237,             0.01019,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068796,            0.013056,            0.016967,             0.62244,             0.95456,             0.90494,             0.20873,            0.077725,           0.0072834,            0.019804,           0.0091288,           0.0091288,           0.0091288
                  46,            0.081448,            0.011714,            0.016839,             0.62244,             0.95456,             0.90494,             0.20873,            0.077725,           0.0072834,            0.019804,            0.009109,            0.009109,            0.009109
